id,category,value,text
47,books,92.57,map row elt python lake warehouse python metrics aggregate ui aggregate
48,books,97.21,scala map metrics reduce aggregate elt lake map ui partition warehouse
49,toys,97.19,data reduce partition spark join etl
50,grocery,58.01,aggregate spark plan warehouse reduce scala
51,grocery,82.64,filter row join aggregate elt map
52,electronics,21.34,filter etl elt aggregate columnar lake etl aggregate scala elt data
53,books,69.64,lake row warehouse data metrics plan
54,grocery,36.52,aggregate scala metrics etl join scala filter metrics aggregate map
55,toys,86.21,elt etl map python scala
56,grocery,20.61,join map partition join join
57,books,35.71,scala etl reduce python plan metrics ui python map
58,toys,12.65,ui ui aggregate data map python lake
59,grocery,82.23,warehouse ui scala join elt
60,grocery,75.9,ui warehouse etl shuffle shuffle lake aggregate
61,grocery,10.23,scala elt data plan etl ui spark metrics warehouse map plan
62,books,49.77,aggregate scala etl row lake reduce filter warehouse
63,toys,60.87,filter warehouse partition columnar lake
64,electronics,88.16,metrics aggregate shuffle ui map row warehouse
65,books,99.4,scala warehouse lake lake shuffle scala aggregate data plan
66,electronics,29.11,elt scala elt aggregate partition
67,grocery,79.92,shuffle aggregate data data map scala scala
68,books,60.56,join ui warehouse elt shuffle warehouse reduce spark columnar spark reduce etl
69,books,75.5,columnar scala shuffle elt filter aggregate row etl row
70,electronics,19.93,lake join etl plan row reduce aggregate row join lake
71,books,90.57,partition join elt ui warehouse warehouse elt
72,grocery,71.77,reduce row warehouse partition etl
73,toys,73.05,data map reduce ui filter
74,electronics,82.85,ui aggregate join filter etl data
75,books,58.56,etl metrics row data scala filter etl spark plan plan
76,toys,33.64,ui metrics python map row shuffle warehouse
77,books,5.02,filter scala shuffle python etl reduce scala spark shuffle columnar
78,toys,47.81,data data etl partition lake python plan columnar
79,electronics,37.21,etl spark metrics warehouse partition plan
80,books,63.27,scala map row spark reduce metrics metrics aggregate python map
81,toys,82.89,columnar scala python ui filter aggregate shuffle elt scala
82,grocery,0.72,plan map lake columnar aggregate elt
83,electronics,8.48,lake etl metrics row ui
84,books,29.54,shuffle row ui aggregate map aggregate map
85,books,87.24,scala map filter reduce map scala filter warehouse columnar reduce map metrics
86,electronics,14.37,lake warehouse reduce scala spark plan lake plan
87,grocery,67.65,map scala spark ui map scala aggregate python columnar etl python columnar
88,electronics,10.81,spark filter shuffle lake lake shuffle
89,books,66.04,ui aggregate join columnar python aggregate python
90,electronics,83.37,aggregate plan map python metrics python aggregate warehouse warehouse
91,electronics,58.7,partition columnar lake spark lake ui spark
92,grocery,40.67,reduce plan lake reduce row plan metrics partition map
93,electronics,44.44,join partition shuffle filter aggregate warehouse
94,books,34.83,etl elt data shuffle lake reduce partition row data etl reduce
95,books,46.72,columnar metrics columnar data spark elt shuffle python
96,grocery,27.56,map columnar columnar map reduce columnar warehouse reduce
97,toys,17.28,python columnar etl elt etl aggregate row
98,toys,30.15,ui python reduce row warehouse filter warehouse plan join filter warehouse elt
99,toys,43.3,reduce etl ui filter lake scala shuffle metrics spark spark row filter
100,grocery,70.66,partition etl lake data columnar ui warehouse etl elt
101,toys,9.07,plan filter shuffle scala reduce etl row spark lake
102,electronics,14.7,python join spark elt row
103,electronics,45.58,reduce warehouse shuffle spark warehouse elt row row shuffle row metrics plan
104,grocery,26.76,reduce elt elt etl metrics
105,electronics,31.84,reduce partition spark join metrics partition spark reduce
106,electronics,35.26,reduce python data python spark warehouse ui spark shuffle
107,grocery,92.87,warehouse warehouse join reduce data scala warehouse filter ui python
108,electronics,48.4,reduce python aggregate spark warehouse columnar lake join scala scala lake metrics
109,toys,48.47,lake aggregate row scala partition ui spark data
110,toys,32.0,row partition partition join map elt plan map lake
111,toys,6.21,filter etl columnar elt plan metrics spark spark
112,toys,91.12,reduce partition row aggregate metrics
113,books,96.61,python python filter shuffle spark
114,books,8.5,join lake aggregate columnar reduce
115,toys,98.17,plan row filter spark partition metrics partition row elt
116,books,36.72,filter metrics python spark data
117,books,97.42,lake warehouse row ui join warehouse data join
118,books,59.86,data plan row python shuffle join data scala spark
119,books,69.09,elt partition plan metrics columnar warehouse reduce elt ui
120,grocery,13.42,elt map aggregate map shuffle scala shuffle
121,electronics,99.85,metrics etl shuffle etl partition join lake
122,toys,28.59,aggregate row map shuffle join elt lake python map python lake
123,electronics,19.76,data map row ui spark python elt
124,toys,54.22,columnar partition lake scala partition partition elt columnar
125,toys,54.82,reduce metrics shuffle reduce ui row
126,grocery,53.96,join shuffle map ui spark plan
127,toys,46.42,columnar map elt row data filter
128,grocery,6.17,data data map warehouse elt map
129,grocery,6.81,lake elt warehouse filter columnar map warehouse lake metrics scala reduce
130,books,56.9,join join partition metrics warehouse shuffle etl scala
131,books,52.94,spark columnar partition shuffle shuffle
132,toys,76.89,python ui data row columnar shuffle warehouse partition elt
133,books,30.67,lake warehouse data etl lake
134,toys,17.57,elt python plan filter spark join scala
135,electronics,27.32,warehouse warehouse lake warehouse aggregate spark row columnar
136,electronics,91.3,scala partition shuffle ui columnar
137,electronics,54.41,map map metrics elt join
138,grocery,56.1,join reduce partition warehouse plan scala ui scala
139,books,45.38,spark scala metrics scala scala ui columnar filter
140,grocery,81.5,shuffle ui etl lake columnar
141,electronics,91.7,partition python columnar row etl ui ui map elt etl
142,grocery,64.46,row join metrics shuffle data spark row map
143,grocery,62.47,lake python plan join metrics map join aggregate etl metrics aggregate
144,toys,41.59,python python filter plan metrics filter shuffle
145,toys,53.46,lake columnar scala python shuffle metrics
146,grocery,82.1,elt spark elt metrics ui filter
147,electronics,9.37,columnar python warehouse filter etl row data
148,books,81.38,etl map python aggregate etl columnar
149,electronics,19.54,partition python reduce filter aggregate aggregate columnar shuffle ui spark scala
150,electronics,66.75,lake elt python aggregate elt map shuffle ui spark partition
151,toys,21.78,shuffle lake aggregate elt python row columnar python
152,electronics,90.89,python partition etl lake join ui warehouse filter reduce reduce metrics spark
153,books,71.2,python partition warehouse partition data plan data etl map
154,grocery,56.22,scala warehouse metrics warehouse filter row aggregate partition warehouse reduce
155,electronics,87.96,python metrics elt row scala etl elt partition data
156,books,70.29,filter reduce elt etl reduce shuffle filter lake data warehouse plan data
157,toys,1.83,warehouse etl partition elt python map metrics python
158,grocery,5.27,join lake join scala elt columnar python scala filter join map map
159,grocery,76.44,lake map warehouse columnar scala ui elt
160,grocery,25.11,row filter metrics spark shuffle
161,books,92.73,reduce scala scala metrics data scala plan partition python
162,grocery,90.89,reduce partition join metrics map
163,books,26.42,elt spark ui reduce metrics shuffle elt
164,books,50.73,shuffle scala lake lake elt scala filter scala python
165,electronics,0.32,ui partition filter map data spark metrics join warehouse
166,grocery,22.21,join spark filter reduce metrics reduce etl map filter elt data
167,electronics,38.64,shuffle map row metrics warehouse row aggregate plan warehouse
168,toys,33.93,reduce columnar metrics lake join row filter filter elt
169,grocery,88.3,scala python etl columnar metrics scala
170,books,50.99,partition row shuffle scala shuffle scala aggregate lake map
171,books,24.94,plan join python columnar plan
172,books,18.52,data metrics plan filter join
173,grocery,14.86,python warehouse scala map filter data shuffle data etl
174,books,30.96,spark warehouse row ui shuffle spark filter scala shuffle python
175,grocery,51.2,reduce elt shuffle etl python elt etl lake data spark partition
176,books,34.16,warehouse join elt join partition map partition aggregate reduce elt
177,grocery,8.97,filter python etl columnar warehouse filter warehouse aggregate
178,books,92.65,elt scala shuffle warehouse join map lake
179,books,98.47,filter warehouse plan data warehouse data map elt data python row filter
180,grocery,93.0,etl columnar scala metrics row map filter filter warehouse ui scala
181,books,96.41,elt shuffle map ui warehouse python
182,grocery,81.99,plan reduce ui map lake partition
183,electronics,68.07,ui spark lake lake shuffle python ui warehouse aggregate
184,books,9.73,python join map data etl elt warehouse filter join
185,grocery,93.69,scala python ui metrics metrics
186,electronics,80.96,elt spark reduce warehouse python metrics data spark python etl filter
187,toys,74.54,etl plan elt columnar elt
188,books,15.36,scala metrics shuffle etl lake metrics row
189,grocery,32.37,partition filter data map lake map
190,toys,83.55,columnar plan data python filter metrics join filter python lake
191,electronics,52.27,filter filter metrics partition spark filter warehouse plan elt metrics scala
192,toys,15.32,ui reduce metrics aggregate warehouse lake ui
193,grocery,35.1,shuffle shuffle warehouse metrics warehouse warehouse ui shuffle metrics python ui spark
194,electronics,25.48,filter columnar columnar map scala aggregate lake shuffle
195,books,77.71,partition reduce ui join partition elt row columnar
196,books,25.72,elt aggregate scala aggregate warehouse
197,toys,1.87,elt spark etl python row elt warehouse partition row shuffle columnar metrics
198,books,40.1,data etl row plan python spark filter warehouse
199,toys,64.44,scala aggregate filter filter join reduce row columnar data aggregate
200,grocery,68.83,elt reduce python ui etl metrics warehouse shuffle row join
201,electronics,2.59,map ui elt reduce lake ui columnar etl lake aggregate plan columnar
202,grocery,68.54,etl columnar elt python plan
203,grocery,23.63,reduce columnar elt map elt
204,books,18.45,etl shuffle join lake ui join scala warehouse
205,books,26.3,columnar reduce warehouse python ui shuffle map row shuffle reduce filter
206,toys,77.29,lake aggregate plan elt spark python ui aggregate
207,electronics,69.83,map columnar metrics shuffle columnar python map ui filter spark row row
208,toys,52.46,aggregate aggregate reduce join aggregate metrics scala spark ui partition spark shuffle
209,books,79.67,reduce spark elt filter lake elt python
210,electronics,4.72,ui spark aggregate plan ui
211,grocery,53.2,etl aggregate shuffle filter metrics lake partition data join columnar
212,grocery,84.02,spark data shuffle lake aggregate metrics warehouse plan filter warehouse
213,toys,51.24,row ui plan python data columnar filter aggregate row metrics partition filter
214,electronics,6.44,row data join python columnar join row ui ui
215,toys,91.96,warehouse etl ui python filter data reduce data aggregate
216,books,13.59,data warehouse metrics data row shuffle data data elt
217,electronics,82.64,elt data shuffle shuffle map etl filter filter data aggregate shuffle
218,toys,56.75,shuffle data map scala metrics
219,books,86.99,row warehouse plan shuffle map data scala
220,toys,9.98,plan plan reduce scala filter spark plan etl data columnar reduce
221,toys,8.22,shuffle partition shuffle reduce row spark warehouse
222,grocery,29.79,ui metrics scala spark map map warehouse spark
223,books,95.16,columnar elt join shuffle join
224,toys,48.26,scala data scala reduce scala columnar
225,books,22.51,row reduce python partition scala aggregate columnar join warehouse
226,electronics,55.94,columnar lake map aggregate data lake
227,grocery,33.65,join python warehouse plan reduce join
228,electronics,88.38,shuffle data python etl row python
229,grocery,26.3,filter reduce etl spark metrics metrics row spark
230,grocery,27.47,reduce partition ui ui warehouse shuffle partition row lake data
231,grocery,39.53,row metrics filter reduce data
232,grocery,20.65,warehouse columnar row columnar data filter metrics data reduce elt
233,electronics,62.72,columnar data join reduce elt data plan warehouse
234,toys,87.63,row join python elt plan data row join map data filter etl
235,toys,87.02,aggregate join columnar ui join shuffle row scala lake columnar
236,toys,22.32,aggregate python lake metrics partition data ui map scala columnar
237,toys,8.81,lake filter python map spark
238,grocery,44.31,ui aggregate scala reduce etl warehouse lake
239,electronics,44.52,shuffle elt python partition aggregate scala reduce lake lake plan
240,grocery,48.32,warehouse scala python spark reduce spark lake row warehouse spark lake data
241,electronics,2.7,metrics spark scala spark partition ui map python etl row reduce map
242,books,37.12,row columnar warehouse partition lake elt aggregate scala lake row spark python
243,electronics,97.56,plan plan map reduce aggregate plan
244,toys,41.95,lake filter etl shuffle columnar
245,books,61.09,plan row reduce columnar python shuffle
246,books,52.68,plan aggregate columnar warehouse filter data scala spark data python columnar row
247,toys,48.75,ui reduce join elt map ui warehouse shuffle partition metrics metrics spark
248,toys,86.33,map columnar reduce plan warehouse python lake map scala columnar
249,grocery,26.15,data metrics ui shuffle etl join join elt
250,toys,1.29,python aggregate reduce python columnar lake row filter
251,grocery,49.99,scala reduce ui data row
252,books,24.8,join row lake python filter scala
253,toys,78.12,shuffle filter elt metrics plan shuffle join python shuffle python
254,electronics,47.78,warehouse ui spark filter spark partition reduce row
255,grocery,81.82,aggregate lake spark lake shuffle
256,electronics,39.76,elt reduce shuffle row aggregate scala ui elt
257,books,85.68,shuffle reduce spark row aggregate lake elt spark warehouse
258,electronics,54.52,filter shuffle scala aggregate join warehouse ui
259,electronics,94.06,join lake reduce ui plan shuffle scala
260,books,33.85,data lake row ui ui aggregate map partition warehouse
261,electronics,2.56,data elt shuffle row scala shuffle columnar metrics join aggregate warehouse reduce
262,books,47.94,aggregate elt row python columnar columnar map scala
263,toys,37.42,aggregate python filter join partition plan elt map
264,grocery,21.83,aggregate data plan ui scala ui plan metrics ui ui
265,books,33.92,python lake spark columnar metrics
266,books,88.74,reduce aggregate shuffle warehouse elt map columnar ui warehouse
267,grocery,4.76,filter map map join metrics warehouse join ui
268,toys,29.84,aggregate map spark data plan scala
269,grocery,41.24,warehouse python join etl filter ui plan spark spark
270,books,1.08,python elt map data etl etl row plan data join
271,electronics,78.21,shuffle partition scala data python aggregate
272,books,64.9,plan metrics shuffle columnar join map map
273,grocery,20.96,join lake plan row warehouse join join row map ui warehouse
274,books,38.69,elt lake spark row columnar etl plan columnar
275,books,69.19,join columnar partition filter partition spark elt etl python scala
276,grocery,78.17,spark data scala spark scala data aggregate data
277,electronics,98.59,spark data metrics columnar partition ui warehouse map map filter columnar data
278,toys,91.32,reduce reduce elt join columnar scala row row elt data
279,toys,59.98,partition filter map filter map reduce ui partition join plan data lake
280,grocery,46.15,row shuffle reduce columnar aggregate shuffle lake ui etl
281,toys,25.84,row partition reduce partition elt join aggregate spark partition metrics row map
282,books,29.47,columnar row aggregate reduce row python spark partition
283,toys,5.83,elt partition spark scala etl map partition
284,books,7.71,partition partition join spark python data
285,books,76.55,etl warehouse elt python reduce etl reduce aggregate elt elt lake
286,toys,45.93,etl plan row data metrics join scala filter map lake shuffle
287,electronics,23.12,etl warehouse map elt aggregate elt
288,electronics,49.48,elt ui scala partition shuffle metrics map ui filter reduce elt
289,electronics,43.56,scala shuffle python spark join
290,electronics,61.49,data partition lake partition data scala scala
291,toys,41.58,aggregate join scala scala data lake shuffle join metrics
292,grocery,25.54,plan aggregate filter elt elt row ui plan etl map
293,books,0.38,aggregate python join shuffle spark scala
294,grocery,41.3,lake data row metrics scala plan lake elt
295,electronics,36.03,map scala row scala scala plan python aggregate scala spark
296,books,99.32,elt partition plan plan elt
297,toys,42.53,map etl plan shuffle scala aggregate elt aggregate row plan etl
298,toys,80.2,join plan filter etl reduce lake map elt scala map map lake
299,books,47.1,spark aggregate python etl join spark map join
300,grocery,74.63,lake aggregate row aggregate python metrics columnar join map columnar metrics
301,electronics,80.26,python join lake columnar partition warehouse filter reduce plan partition
302,books,25.07,metrics join columnar spark reduce ui join scala partition metrics
303,electronics,54.55,metrics elt aggregate plan metrics partition warehouse data
304,toys,15.05,shuffle elt lake scala etl columnar aggregate
305,electronics,91.14,join python reduce spark map data etl join filter data spark
306,electronics,12.96,warehouse warehouse spark metrics etl
307,toys,38.66,map lake join elt map reduce plan row
308,toys,93.52,spark row map python columnar filter
309,books,3.19,shuffle etl join scala scala data row
310,electronics,69.84,spark shuffle map etl join ui columnar ui filter etl
311,electronics,72.9,spark metrics ui columnar metrics data
312,toys,63.2,partition spark shuffle scala plan spark
313,books,67.51,metrics partition warehouse map python shuffle
314,grocery,2.98,reduce python spark python reduce etl spark lake elt filter
315,electronics,49.73,filter etl join ui row warehouse reduce map ui warehouse
316,grocery,73.66,data row etl filter filter metrics reduce
317,electronics,87.86,python spark etl map scala join ui
318,grocery,87.69,columnar aggregate row shuffle warehouse
319,books,56.93,elt metrics ui join filter
320,books,84.23,warehouse map etl ui lake aggregate columnar map elt
321,grocery,59.77,partition map row etl python etl
322,grocery,9.81,warehouse ui data plan reduce python elt map etl spark reduce
323,books,42.28,aggregate elt reduce warehouse elt scala
324,grocery,92.7,columnar columnar metrics columnar warehouse row join join filter python warehouse
325,toys,18.28,data warehouse metrics filter elt
326,electronics,66.15,plan elt filter spark ui
327,books,52.65,shuffle data join row etl
328,toys,89.52,lake elt warehouse ui data
329,electronics,67.69,scala ui plan shuffle reduce ui python etl ui
330,books,21.09,python plan shuffle reduce spark spark etl spark etl elt aggregate
331,toys,0.37,shuffle row join filter warehouse columnar row plan lake spark metrics
332,toys,43.85,shuffle row scala lake spark elt lake
333,electronics,65.96,map ui shuffle join columnar warehouse plan shuffle plan
334,electronics,63.32,scala row lake columnar join etl aggregate python lake aggregate
335,books,37.04,ui map filter row etl
336,electronics,18.32,scala plan columnar warehouse row map data shuffle warehouse ui plan
337,toys,92.21,reduce plan data reduce plan join columnar lake
338,toys,43.79,partition etl scala elt columnar reduce row elt row shuffle
339,toys,14.08,columnar data row scala ui aggregate row
340,toys,2.35,metrics reduce columnar plan elt
341,toys,24.84,partition lake map spark columnar shuffle plan partition join filter
342,grocery,83.74,aggregate join spark row data reduce ui filter lake metrics reduce
343,grocery,85.64,python row python metrics row data
344,grocery,3.75,plan filter python reduce scala scala
345,books,63.72,plan filter lake ui partition warehouse elt
346,books,56.14,reduce ui warehouse data spark aggregate reduce aggregate scala lake
347,toys,63.44,row filter scala scala reduce python warehouse
348,electronics,85.69,data partition metrics python etl aggregate scala map etl python plan python
349,grocery,38.59,elt shuffle plan spark plan row join
350,electronics,87.91,ui filter data reduce shuffle
351,electronics,46.36,data map etl plan python
352,books,13.76,python ui data warehouse partition warehouse map map
353,books,36.87,elt map aggregate spark columnar spark columnar aggregate
354,books,59.42,join aggregate warehouse lake reduce partition elt
355,toys,11.36,elt row data reduce elt reduce lake partition
356,books,70.42,warehouse python lake map lake
357,grocery,51.35,row elt ui ui reduce ui
358,books,66.99,shuffle plan warehouse lake filter spark partition
359,grocery,81.4,reduce data row plan shuffle etl scala plan elt scala plan
360,electronics,29.09,filter lake elt scala lake warehouse shuffle
361,books,91.8,columnar elt elt scala metrics python ui metrics filter join spark metrics
362,electronics,90.96,row spark scala columnar shuffle columnar aggregate python warehouse row warehouse
363,toys,51.56,join ui ui python plan metrics
364,grocery,54.9,partition row reduce data metrics map reduce elt
365,electronics,28.66,python metrics etl ui join ui row join
366,books,91.26,aggregate aggregate partition columnar filter plan lake aggregate aggregate
367,grocery,58.68,join partition shuffle aggregate shuffle aggregate
368,toys,82.38,plan shuffle plan join filter partition python scala lake elt elt aggregate
369,toys,0.57,warehouse row spark data warehouse shuffle map elt shuffle spark
370,electronics,61.98,metrics warehouse shuffle shuffle etl lake columnar warehouse plan ui warehouse map
371,grocery,28.04,spark filter etl python filter aggregate plan spark data row metrics
372,toys,24.08,metrics scala python etl elt plan join scala ui etl data
373,electronics,58.28,data reduce scala aggregate warehouse
374,grocery,73.17,scala spark etl spark reduce map plan lake lake lake partition row
375,books,93.92,filter ui columnar ui filter join metrics spark partition join columnar reduce
376,grocery,60.17,lake map data data aggregate metrics map reduce
377,books,68.94,aggregate filter map python aggregate plan
378,books,44.5,shuffle elt metrics python scala plan python row
379,grocery,29.68,join filter columnar spark aggregate spark etl partition join metrics ui reduce
380,electronics,77.16,warehouse plan ui reduce ui reduce map row warehouse
381,books,7.31,warehouse map map etl scala python elt
382,grocery,81.37,elt lake aggregate warehouse warehouse data reduce row
383,grocery,34.39,row etl row ui scala row lake
384,electronics,45.83,data filter metrics aggregate elt shuffle partition partition scala reduce plan warehouse
385,toys,33.75,python columnar partition scala metrics shuffle lake warehouse python
386,grocery,52.52,map aggregate plan row row columnar warehouse metrics shuffle
387,toys,26.24,metrics warehouse reduce row columnar row join columnar
388,electronics,26.72,elt scala columnar ui filter ui elt elt elt shuffle
389,books,53.79,aggregate data map aggregate partition scala spark lake map metrics
390,toys,5.05,plan row map metrics python python
391,electronics,77.05,data columnar plan elt map columnar warehouse data data metrics metrics
392,toys,65.37,spark aggregate python scala data plan elt lake shuffle metrics plan data
393,grocery,54.61,scala aggregate warehouse scala join aggregate aggregate etl warehouse etl
394,toys,85.83,lake join map map lake warehouse
395,toys,78.69,scala aggregate row row plan metrics
396,toys,56.48,reduce filter ui warehouse plan ui etl aggregate scala metrics spark
397,electronics,37.98,plan warehouse lake row lake
398,grocery,90.29,metrics join reduce scala scala warehouse warehouse ui
399,grocery,99.53,partition metrics join filter data filter map reduce ui warehouse python
400,books,45.48,columnar warehouse spark warehouse metrics map map shuffle aggregate scala ui row
401,books,58.48,join join columnar partition row scala python columnar data columnar aggregate reduce
402,toys,92.44,map row metrics scala spark aggregate data columnar
403,grocery,52.05,plan etl lake shuffle map reduce ui shuffle warehouse
404,electronics,3.07,columnar join scala elt filter scala
405,electronics,15.64,warehouse reduce metrics ui elt lake ui reduce etl
406,books,38.17,row shuffle lake shuffle columnar scala filter etl
407,toys,35.04,warehouse aggregate columnar reduce spark etl lake aggregate lake join scala plan
408,electronics,77.58,filter data plan spark warehouse python spark
409,books,40.85,ui filter row ui reduce
410,books,89.73,reduce reduce filter partition etl partition
411,grocery,93.15,filter spark reduce reduce map data warehouse shuffle data shuffle reduce python
412,books,27.7,elt plan etl spark elt metrics shuffle
413,grocery,71.51,ui spark partition lake data scala data python metrics scala
414,books,23.8,partition shuffle ui aggregate warehouse partition partition scala shuffle join python join
415,toys,34.85,metrics metrics data ui python
416,toys,40.32,warehouse etl data data map shuffle warehouse shuffle columnar
417,electronics,69.21,ui columnar elt filter row columnar join
418,electronics,53.65,ui row python metrics lake
419,books,50.69,metrics aggregate reduce data plan warehouse warehouse spark join ui
420,electronics,13.13,spark data warehouse scala spark scala columnar metrics filter ui aggregate partition
421,books,76.81,reduce scala shuffle lake data warehouse plan join partition data scala
422,toys,22.79,filter data reduce filter filter shuffle metrics aggregate filter reduce
423,grocery,4.46,row row scala partition shuffle metrics python
424,toys,6.45,aggregate filter map map elt etl metrics
425,electronics,13.2,join elt filter filter etl lake etl
426,toys,83.97,shuffle partition shuffle data partition warehouse lake warehouse columnar metrics
427,grocery,21.79,metrics map data warehouse spark filter
428,toys,98.5,scala row etl metrics filter shuffle
429,toys,68.76,python data ui columnar reduce metrics etl warehouse
430,toys,48.37,filter lake aggregate etl data reduce python spark metrics
431,books,47.96,lake metrics elt plan python warehouse spark shuffle etl
432,grocery,57.23,map elt map filter elt ui metrics
433,books,9.77,etl row warehouse python lake shuffle etl filter metrics data scala aggregate
434,electronics,30.32,python data scala lake reduce columnar aggregate filter elt row lake metrics
435,toys,41.76,row shuffle ui ui ui ui spark
436,toys,63.39,etl elt aggregate warehouse plan data
437,electronics,61.27,aggregate partition spark join warehouse lake filter elt reduce shuffle ui columnar
438,grocery,67.6,ui row spark lake columnar scala plan plan
439,electronics,5.94,elt reduce plan etl warehouse map
440,toys,37.17,data warehouse warehouse metrics lake map filter partition metrics
441,electronics,61.81,etl filter columnar aggregate lake shuffle lake plan warehouse metrics
442,grocery,88.07,map reduce shuffle lake join
443,toys,78.62,python spark columnar python scala columnar metrics
444,toys,0.38,filter map warehouse lake reduce
445,books,29.68,join elt data map lake etl
446,toys,14.22,shuffle ui data shuffle data join
447,grocery,60.8,spark reduce warehouse scala warehouse etl shuffle plan filter python shuffle
448,grocery,44.43,partition partition filter plan reduce lake shuffle
449,electronics,16.72,shuffle aggregate elt spark ui aggregate filter elt join
450,toys,63.48,elt elt metrics row etl etl lake
451,books,64.2,filter plan lake reduce data spark elt partition map partition
452,toys,60.7,python join shuffle reduce data elt reduce ui python
453,grocery,64.42,elt row filter metrics columnar python metrics scala join shuffle shuffle
454,books,33.93,filter partition spark row etl shuffle partition reduce aggregate
455,grocery,56.64,row aggregate shuffle reduce join elt join
456,grocery,45.69,columnar data data ui python partition lake columnar map metrics columnar lake
457,grocery,29.61,columnar lake elt warehouse aggregate
458,books,24.45,warehouse map elt shuffle warehouse plan lake elt lake warehouse
459,electronics,22.67,aggregate elt warehouse etl spark join lake partition warehouse metrics ui
460,electronics,81.69,filter scala python warehouse map shuffle
461,grocery,11.48,lake map columnar partition shuffle ui lake aggregate python shuffle python
462,grocery,20.24,row join map row etl aggregate plan lake ui join
463,grocery,22.67,elt filter warehouse filter warehouse plan plan columnar
464,electronics,38.56,elt shuffle lake shuffle etl join partition lake python data
465,toys,88.83,reduce shuffle shuffle warehouse data metrics etl metrics
466,books,44.42,ui warehouse ui metrics ui shuffle map scala join ui join
467,books,10.0,aggregate warehouse columnar scala plan scala shuffle row
468,electronics,0.21,shuffle join warehouse reduce aggregate elt map lake shuffle etl
469,electronics,4.2,partition row shuffle columnar metrics metrics
470,electronics,21.11,spark reduce data join reduce spark spark join aggregate metrics
471,grocery,72.01,row join shuffle shuffle lake filter etl
472,toys,15.43,filter partition elt scala metrics aggregate metrics plan warehouse lake
473,books,76.96,data lake warehouse row filter plan filter
474,electronics,56.24,map shuffle plan etl columnar etl elt
475,electronics,41.87,map metrics data elt metrics scala warehouse map data filter
476,grocery,10.06,aggregate python partition filter map warehouse
477,toys,8.82,aggregate python columnar spark plan ui reduce spark python
478,grocery,65.46,filter join lake shuffle columnar
479,toys,12.64,elt data shuffle aggregate columnar ui partition warehouse elt aggregate
480,books,0.31,map etl lake columnar elt plan etl columnar plan shuffle etl python
481,toys,79.11,columnar shuffle etl data plan filter metrics row plan row
482,books,85.22,columnar reduce etl map scala spark elt ui
483,books,19.8,map filter partition warehouse columnar row data warehouse etl
484,electronics,46.1,spark python shuffle shuffle lake etl partition plan map etl metrics join
485,grocery,70.45,scala python join scala scala columnar reduce ui warehouse spark data map
486,electronics,44.72,shuffle ui join elt metrics
