prev_title,curr_title,type,n,ts
Search,RDD,link,148,2025-06-19T07:22:00
Data_engineering,MapReduce,other,379,2025-06-09T18:10:00
Data_engineering,Partition_(databases),link,297,2025-06-07T12:43:00
Category:Machine_learning,Broadcast_join,link,21,2025-06-17T07:39:00
Search,Data_warehouse,link,385,2025-06-07T09:06:00
Python_(programming_language),Dataframe,link,498,2025-06-15T13:19:00
Main_Page,RDD,link,62,2025-06-13T10:26:00
Category:Machine_learning,Broadcast_join,other,154,2025-06-25T04:11:00
Category:Machine_learning,Lakehouse,link,440,2025-06-11T06:46:00
Category:Machine_learning,Broadcast_join,external,493,2025-06-19T17:16:00
Category:Machine_learning,Partition_(databases),link,288,2025-06-19T19:26:00
Category:Machine_learning,Feature_store,link,372,2025-06-27T13:58:00
Data_engineering,Feature_store,link,325,2025-06-28T18:16:00
Category:Machine_learning,Feature_store,link,233,2025-06-13T23:31:00
Data_engineering,Category:Big_data,link,52,2025-06-26T19:11:00
Data_engineering,Dataframe,external,317,2025-06-01T11:43:00
Python_(programming_language),SQL,link,251,2025-06-21T18:04:00
Main_Page,Category:Big_data,external,382,2025-06-28T01:18:00
Apache_Spark,Data_warehouse,other,24,2025-06-17T06:51:00
Main_Page,Apache_Spark,link,470,2025-06-17T03:18:00
ELT,PySpark,external,69,2025-06-19T06:12:00
Python_(programming_language),Partition_(databases),link,461,2025-06-26T05:11:00
Python_(programming_language),Broadcast_join,link,330,2025-06-07T12:36:00
Main_Page,Apache_Spark,link,347,2025-06-27T15:24:00
Python_(programming_language),Broadcast_join,external,109,2025-06-13T06:07:00
Search,Lakehouse,link,138,2025-06-25T20:29:00
ELT,Broadcast_join,external,490,2025-06-15T18:16:00
Apache_Spark,Data_warehouse,link,44,2025-06-27T17:33:00
ELT,Dataframe,link,109,2025-06-02T17:42:00
ELT,Feature_store,link,312,2025-06-12T23:04:00
Apache_Spark,Lakehouse,link,258,2025-06-23T20:10:00
ETL,RDD,link,216,2025-06-20T21:48:00
Main_Page,Feature_store,link,73,2025-06-27T11:05:00
Python_(programming_language),PySpark,link,291,2025-06-21T15:51:00
Data_engineering,Apache_Spark,external,77,2025-06-28T00:43:00
Apache_Spark,MapReduce,link,182,2025-06-23T14:53:00
Python_(programming_language),SQL,link,474,2025-06-13T18:42:00
Apache_Spark,Feature_store,external,86,2025-06-01T04:43:00
Main_Page,SQL,link,55,2025-06-17T20:49:00
Python_(programming_language),Category:Big_data,external,307,2025-06-24T08:08:00
Data_engineering,Broadcast_join,link,133,2025-06-16T20:55:00
Category:Machine_learning,RDD,link,20,2025-06-15T14:38:00
ELT,Apache_Spark,link,133,2025-06-17T15:38:00
Data_engineering,Broadcast_join,link,300,2025-06-25T14:38:00
Python_(programming_language),Category:Big_data,link,250,2025-06-24T21:06:00
ELT,SQL,link,381,2025-06-24T03:25:00
ETL,Lakehouse,link,122,2025-06-03T22:14:00
ETL,SQL,external,195,2025-06-24T14:13:00
Main_Page,MapReduce,link,342,2025-06-17T16:27:00
Apache_Spark,MapReduce,external,303,2025-06-21T14:49:00
Data_engineering,Data_warehouse,external,222,2025-06-16T21:44:00
Search,Partition_(databases),link,140,2025-06-01T16:25:00
Main_Page,Partition_(databases),external,459,2025-06-04T04:41:00
Search,MapReduce,external,417,2025-06-22T11:57:00
Data_engineering,SQL,link,352,2025-06-08T05:46:00
ELT,RDD,link,185,2025-06-07T19:01:00
Python_(programming_language),Feature_store,link,397,2025-06-14T16:01:00
Main_Page,Dataframe,link,408,2025-06-11T04:15:00
Search,Category:Big_data,link,317,2025-06-09T05:26:00
Category:Machine_learning,PySpark,link,97,2025-06-17T02:24:00
Data_engineering,SQL,link,293,2025-06-17T14:40:00
Apache_Spark,Apache_Spark,external,278,2025-06-02T22:27:00
Python_(programming_language),Feature_store,other,495,2025-06-01T00:21:00
Data_engineering,Dataframe,link,407,2025-06-27T23:52:00
Data_engineering,SQL,link,161,2025-06-13T12:01:00
ELT,Dataframe,link,244,2025-06-02T09:46:00
ELT,Feature_store,external,48,2025-06-26T20:34:00
ETL,Data_warehouse,link,491,2025-06-28T23:16:00
Data_engineering,Category:Big_data,external,76,2025-06-04T17:03:00
Python_(programming_language),Category:Big_data,link,375,2025-06-23T00:09:00
ETL,Dataframe,other,151,2025-06-04T02:22:00
Main_Page,Partition_(databases),external,324,2025-06-10T09:17:00
ELT,Category:Big_data,other,436,2025-06-10T11:58:00
ELT,Lakehouse,external,458,2025-06-04T09:06:00
Apache_Spark,Data_warehouse,link,55,2025-06-06T18:59:00
Category:Machine_learning,MapReduce,other,133,2025-06-17T20:45:00
Main_Page,Lakehouse,link,35,2025-06-28T01:03:00
Search,Broadcast_join,link,310,2025-06-08T22:27:00
Apache_Spark,Feature_store,link,229,2025-06-01T18:41:00
Python_(programming_language),MapReduce,link,133,2025-06-23T05:46:00
ETL,Apache_Spark,link,120,2025-06-05T04:18:00
Search,Apache_Spark,link,200,2025-06-17T17:25:00
Main_Page,RDD,link,174,2025-06-01T08:37:00
Python_(programming_language),Data_warehouse,link,337,2025-06-23T05:41:00
Main_Page,MapReduce,link,391,2025-06-19T00:00:00
Category:Machine_learning,Partition_(databases),external,49,2025-06-26T23:30:00
Python_(programming_language),Dataframe,link,142,2025-06-17T17:07:00
Apache_Spark,PySpark,other,161,2025-06-10T23:49:00
Main_Page,SQL,external,441,2025-06-23T02:28:00
Search,Feature_store,other,408,2025-06-27T17:10:00
Search,Feature_store,link,14,2025-06-13T05:36:00
Data_engineering,MapReduce,link,438,2025-06-03T07:50:00
Data_engineering,Feature_store,link,351,2025-06-19T21:08:00
ELT,Partition_(databases),link,181,2025-06-26T14:13:00
ELT,Data_warehouse,link,399,2025-06-12T03:38:00
Main_Page,Data_warehouse,link,374,2025-06-18T08:42:00
Python_(programming_language),Lakehouse,external,244,2025-06-13T06:39:00
Search,Category:Big_data,external,98,2025-06-02T10:56:00
ETL,MapReduce,link,319,2025-06-16T16:09:00
ETL,MapReduce,link,219,2025-06-15T11:53:00
Apache_Spark,PySpark,other,95,2025-06-08T04:20:00
ETL,Category:Big_data,link,329,2025-06-25T13:42:00
Main_Page,MapReduce,link,130,2025-06-09T03:33:00
Apache_Spark,Dataframe,other,451,2025-06-10T04:05:00
Main_Page,Broadcast_join,link,242,2025-06-27T09:09:00
Search,RDD,external,251,2025-06-16T10:42:00
ETL,RDD,link,358,2025-06-03T18:10:00
Data_engineering,Lakehouse,external,73,2025-06-22T19:44:00
Apache_Spark,Partition_(databases),link,101,2025-06-13T06:58:00
Search,Category:Big_data,link,68,2025-06-25T11:18:00
Main_Page,SQL,link,255,2025-06-25T17:53:00
Apache_Spark,Category:Big_data,link,43,2025-06-17T06:49:00
Apache_Spark,MapReduce,link,38,2025-06-11T18:17:00
Data_engineering,Dataframe,link,426,2025-06-12T23:28:00
Data_engineering,Apache_Spark,link,500,2025-06-26T04:48:00
Python_(programming_language),Partition_(databases),external,143,2025-06-20T05:57:00
Python_(programming_language),Apache_Spark,link,344,2025-06-06T09:11:00
Category:Machine_learning,Dataframe,external,107,2025-06-06T17:06:00
ELT,Lakehouse,link,483,2025-06-24T18:59:00
Apache_Spark,Partition_(databases),external,484,2025-06-14T17:14:00
ELT,Dataframe,external,345,2025-06-02T07:43:00
Category:Machine_learning,Data_warehouse,link,117,2025-06-20T16:40:00
ELT,Apache_Spark,external,46,2025-06-25T00:16:00
Data_engineering,MapReduce,link,293,2025-06-13T14:41:00
ELT,Partition_(databases),link,266,2025-06-14T15:08:00
Data_engineering,Partition_(databases),external,461,2025-06-17T20:10:00
Main_Page,Data_warehouse,link,155,2025-06-08T05:16:00
Apache_Spark,RDD,other,216,2025-06-05T19:39:00
ETL,Category:Big_data,other,212,2025-06-24T18:51:00
Python_(programming_language),MapReduce,link,280,2025-06-07T21:03:00
Apache_Spark,Feature_store,link,320,2025-06-28T03:53:00
ELT,Dataframe,link,312,2025-06-06T10:51:00
Data_engineering,Feature_store,link,225,2025-06-24T00:34:00
ELT,Data_warehouse,link,231,2025-06-21T05:26:00
Search,Partition_(databases),link,61,2025-06-09T09:31:00
Data_engineering,PySpark,link,404,2025-06-28T12:49:00
Python_(programming_language),Apache_Spark,link,198,2025-06-09T02:44:00
Main_Page,Broadcast_join,link,426,2025-06-06T22:28:00
Main_Page,RDD,link,364,2025-06-21T06:35:00
Main_Page,SQL,link,344,2025-06-21T16:53:00
Search,MapReduce,link,205,2025-06-23T20:57:00
Category:Machine_learning,RDD,link,334,2025-06-17T09:42:00
ETL,RDD,external,232,2025-06-28T06:59:00
Apache_Spark,Dataframe,link,149,2025-06-26T22:24:00
Category:Machine_learning,MapReduce,external,259,2025-06-09T13:49:00
ETL,Category:Big_data,external,500,2025-06-23T02:24:00
ETL,Category:Big_data,link,62,2025-06-01T17:34:00
Data_engineering,RDD,link,315,2025-06-15T01:46:00
ETL,Lakehouse,external,437,2025-06-26T13:20:00
Apache_Spark,Feature_store,link,249,2025-06-03T05:18:00
ETL,Data_warehouse,link,155,2025-06-13T06:18:00
ELT,SQL,external,16,2025-06-05T21:27:00
Main_Page,RDD,link,39,2025-06-21T07:33:00
Search,Partition_(databases),link,44,2025-06-01T18:02:00
Python_(programming_language),Apache_Spark,link,213,2025-06-26T13:51:00
ELT,Feature_store,link,334,2025-06-02T13:23:00
Apache_Spark,PySpark,link,469,2025-06-25T21:35:00
ETL,Category:Big_data,external,374,2025-06-03T15:15:00
Category:Machine_learning,Data_warehouse,link,235,2025-06-23T04:57:00
Python_(programming_language),PySpark,link,119,2025-06-15T19:39:00
Python_(programming_language),RDD,link,251,2025-06-03T05:46:00
ETL,Broadcast_join,external,6,2025-06-09T13:44:00
Search,SQL,link,271,2025-06-15T13:50:00
Python_(programming_language),Broadcast_join,link,485,2025-06-09T06:37:00
Apache_Spark,SQL,link,4,2025-06-01T17:19:00
Main_Page,Lakehouse,external,311,2025-06-21T19:05:00
ELT,Dataframe,external,157,2025-06-14T23:08:00
Apache_Spark,Partition_(databases),link,184,2025-06-03T13:20:00
Apache_Spark,Partition_(databases),link,275,2025-06-12T21:12:00
Python_(programming_language),RDD,link,237,2025-06-12T03:00:00
Search,Apache_Spark,link,359,2025-06-27T07:46:00
ETL,Category:Big_data,link,192,2025-06-26T03:08:00
Main_Page,MapReduce,link,379,2025-06-02T23:29:00
Apache_Spark,Partition_(databases),link,219,2025-06-02T06:43:00
Data_engineering,RDD,link,271,2025-06-27T06:38:00
ETL,PySpark,external,369,2025-06-27T09:45:00
Python_(programming_language),Category:Big_data,other,68,2025-06-01T06:06:00
ETL,SQL,link,102,2025-06-03T17:11:00
Apache_Spark,Lakehouse,link,328,2025-06-09T20:38:00
Python_(programming_language),Data_warehouse,other,274,2025-06-19T12:39:00
Search,RDD,link,27,2025-06-28T18:15:00
Apache_Spark,Lakehouse,external,468,2025-06-13T23:29:00
Search,RDD,link,246,2025-06-27T02:38:00
Data_engineering,Dataframe,link,410,2025-06-07T11:01:00
Main_Page,Partition_(databases),link,356,2025-06-15T09:24:00
Data_engineering,Data_warehouse,link,71,2025-06-08T03:55:00
ELT,Category:Big_data,link,471,2025-06-05T07:15:00
Data_engineering,Broadcast_join,link,268,2025-06-04T16:26:00
Category:Machine_learning,Dataframe,external,60,2025-06-04T03:00:00
Data_engineering,MapReduce,link,47,2025-06-17T06:20:00
Data_engineering,Category:Big_data,external,155,2025-06-04T22:13:00
ETL,SQL,link,347,2025-06-12T10:17:00
Category:Machine_learning,Broadcast_join,link,391,2025-06-19T16:27:00
Apache_Spark,MapReduce,link,2,2025-06-10T02:55:00
Data_engineering,MapReduce,link,44,2025-06-24T07:46:00
Data_engineering,Broadcast_join,link,169,2025-06-16T16:37:00
Python_(programming_language),Lakehouse,external,152,2025-06-04T05:28:00
Main_Page,Partition_(databases),link,263,2025-06-27T15:06:00
Category:Machine_learning,Category:Big_data,link,212,2025-06-27T10:51:00
ETL,Partition_(databases),link,192,2025-06-12T21:30:00
ETL,Feature_store,link,5,2025-06-19T13:54:00
ELT,Data_warehouse,link,27,2025-06-28T19:59:00
Data_engineering,Category:Big_data,link,284,2025-06-25T22:05:00
ETL,Lakehouse,other,398,2025-06-25T16:33:00
Data_engineering,RDD,link,249,2025-06-07T23:55:00
ETL,PySpark,link,468,2025-06-09T15:12:00
Main_Page,Broadcast_join,link,319,2025-06-26T23:01:00
Data_engineering,Broadcast_join,link,260,2025-06-05T01:51:00
Apache_Spark,Partition_(databases),link,158,2025-06-27T23:58:00
Category:Machine_learning,SQL,external,263,2025-06-19T21:36:00
Category:Machine_learning,Broadcast_join,link,405,2025-06-22T03:12:00
Main_Page,Data_warehouse,link,499,2025-06-14T10:31:00
Data_engineering,Dataframe,link,207,2025-06-03T23:28:00
Apache_Spark,Feature_store,link,337,2025-06-24T10:49:00
Main_Page,Broadcast_join,link,152,2025-06-04T23:42:00
Category:Machine_learning,Apache_Spark,link,216,2025-06-01T01:48:00
ELT,PySpark,link,222,2025-06-02T14:42:00
Category:Machine_learning,Feature_store,link,99,2025-06-28T19:20:00
Data_engineering,Apache_Spark,external,201,2025-06-08T02:37:00
Category:Machine_learning,Broadcast_join,link,12,2025-06-19T21:01:00
ETL,Category:Big_data,link,183,2025-06-01T00:17:00
Category:Machine_learning,Category:Big_data,external,260,2025-06-06T16:02:00
ETL,Partition_(databases),external,314,2025-06-03T07:30:00
ETL,SQL,other,62,2025-06-01T10:29:00
ETL,RDD,link,207,2025-06-06T04:33:00
ELT,Feature_store,link,292,2025-06-02T21:41:00
Python_(programming_language),SQL,link,86,2025-06-24T21:08:00
Python_(programming_language),Broadcast_join,other,396,2025-06-25T23:44:00
Search,SQL,other,498,2025-06-10T23:10:00
Main_Page,Feature_store,external,262,2025-06-25T18:25:00
Search,Lakehouse,other,215,2025-06-01T01:35:00
ETL,Data_warehouse,other,326,2025-06-01T12:57:00
ELT,Apache_Spark,external,496,2025-06-14T16:21:00
Data_engineering,Partition_(databases),link,257,2025-06-20T00:08:00
ELT,Apache_Spark,link,420,2025-06-07T07:38:00
Python_(programming_language),SQL,link,325,2025-06-25T04:25:00
Apache_Spark,Broadcast_join,external,84,2025-06-03T12:18:00
ETL,Data_warehouse,link,390,2025-06-18T09:19:00
Apache_Spark,Partition_(databases),other,302,2025-06-04T14:24:00
Python_(programming_language),Apache_Spark,link,29,2025-06-10T20:48:00
ETL,Feature_store,link,1,2025-06-03T22:02:00
Category:Machine_learning,Data_warehouse,link,284,2025-06-25T10:24:00
Apache_Spark,Dataframe,external,148,2025-06-25T13:08:00
ETL,SQL,external,463,2025-06-13T18:06:00
ETL,SQL,link,343,2025-06-09T19:13:00
Search,Lakehouse,external,138,2025-06-27T09:25:00
Main_Page,Broadcast_join,external,329,2025-06-03T06:37:00
Apache_Spark,MapReduce,link,401,2025-06-15T15:45:00
Data_engineering,Category:Big_data,link,247,2025-06-04T19:47:00
ELT,PySpark,link,9,2025-06-27T01:07:00
Data_engineering,PySpark,link,454,2025-06-14T22:51:00
ETL,Category:Big_data,link,186,2025-06-02T11:48:00
Search,Broadcast_join,link,302,2025-06-24T18:59:00
ETL,Broadcast_join,other,93,2025-06-23T21:00:00
Apache_Spark,Partition_(databases),link,152,2025-06-16T19:33:00
Main_Page,MapReduce,external,180,2025-06-05T06:34:00
ETL,Feature_store,link,382,2025-06-22T06:10:00
ELT,MapReduce,link,15,2025-06-15T16:31:00
Python_(programming_language),Data_warehouse,link,377,2025-06-22T17:41:00
ELT,Apache_Spark,link,150,2025-06-24T12:26:00
Search,RDD,other,68,2025-06-08T10:48:00
Python_(programming_language),MapReduce,external,359,2025-06-13T09:04:00
Data_engineering,Partition_(databases),link,494,2025-06-05T20:18:00
Main_Page,Feature_store,link,169,2025-06-23T13:41:00
Apache_Spark,MapReduce,link,13,2025-06-22T18:44:00
Category:Machine_learning,Feature_store,link,453,2025-06-15T00:52:00
Apache_Spark,PySpark,link,92,2025-06-06T02:27:00
Apache_Spark,RDD,link,54,2025-06-13T16:34:00
Apache_Spark,Lakehouse,link,419,2025-06-03T18:46:00
ELT,Apache_Spark,link,200,2025-06-06T01:45:00
ELT,Dataframe,link,484,2025-06-04T01:54:00
Apache_Spark,Lakehouse,link,163,2025-06-27T07:00:00
Main_Page,Partition_(databases),link,306,2025-06-22T20:23:00
Category:Machine_learning,Lakehouse,link,72,2025-06-05T06:03:00
Apache_Spark,Lakehouse,link,93,2025-06-08T09:33:00
ELT,Broadcast_join,link,64,2025-06-24T12:48:00
Apache_Spark,Category:Big_data,link,36,2025-06-17T16:05:00
Apache_Spark,Apache_Spark,link,333,2025-06-03T00:59:00
Search,Feature_store,other,47,2025-06-18T11:47:00
ETL,Apache_Spark,link,417,2025-06-13T17:59:00
Search,Feature_store,link,326,2025-06-04T08:47:00
Search,Apache_Spark,link,382,2025-06-25T17:20:00
Main_Page,Feature_store,link,27,2025-06-10T13:43:00
Category:Machine_learning,PySpark,link,482,2025-06-23T09:36:00
Data_engineering,Broadcast_join,link,385,2025-06-23T06:56:00
ELT,Lakehouse,link,213,2025-06-13T13:50:00
Data_engineering,SQL,other,135,2025-06-24T10:23:00
Python_(programming_language),Feature_store,link,82,2025-06-14T11:37:00
Apache_Spark,Feature_store,link,82,2025-06-18T16:25:00
Category:Machine_learning,Category:Big_data,link,298,2025-06-24T04:50:00
Apache_Spark,PySpark,link,256,2025-06-26T07:36:00
ELT,RDD,link,473,2025-06-28T03:23:00
ETL,PySpark,link,140,2025-06-23T09:42:00
Python_(programming_language),Lakehouse,link,202,2025-06-17T19:04:00
Main_Page,Lakehouse,external,470,2025-06-26T14:16:00
Search,PySpark,link,452,2025-06-05T11:56:00
ELT,Lakehouse,link,292,2025-06-18T13:37:00
Python_(programming_language),SQL,link,489,2025-06-04T03:07:00
Apache_Spark,Feature_store,other,357,2025-06-27T01:37:00
Main_Page,Data_warehouse,other,499,2025-06-08T12:40:00
Main_Page,Data_warehouse,link,175,2025-06-23T00:53:00
Category:Machine_learning,PySpark,link,279,2025-06-12T22:02:00
ETL,Feature_store,link,265,2025-06-17T14:47:00
Python_(programming_language),RDD,link,236,2025-06-01T21:35:00
Data_engineering,PySpark,external,428,2025-06-26T19:14:00
Python_(programming_language),Apache_Spark,external,236,2025-06-05T14:38:00
Data_engineering,Broadcast_join,link,253,2025-06-09T00:28:00
Category:Machine_learning,Feature_store,link,457,2025-06-03T00:04:00
Main_Page,Apache_Spark,external,15,2025-06-06T12:31:00
Data_engineering,Lakehouse,link,160,2025-06-12T10:14:00
Main_Page,Feature_store,link,470,2025-06-02T03:30:00
ETL,Partition_(databases),external,364,2025-06-03T23:35:00
Main_Page,Data_warehouse,external,327,2025-06-27T10:07:00
Python_(programming_language),Feature_store,link,270,2025-06-18T03:16:00
Category:Machine_learning,Broadcast_join,link,195,2025-06-27T12:51:00
Main_Page,Broadcast_join,link,326,2025-06-16T11:02:00
Data_engineering,Lakehouse,link,226,2025-06-17T06:27:00
Main_Page,Partition_(databases),external,54,2025-06-20T11:21:00
Category:Machine_learning,SQL,link,433,2025-06-10T01:41:00
ELT,Apache_Spark,external,50,2025-06-03T22:51:00
Main_Page,Partition_(databases),link,126,2025-06-26T01:56:00
Data_engineering,Apache_Spark,link,370,2025-06-24T10:13:00
Main_Page,Category:Big_data,external,302,2025-06-20T02:53:00
Search,PySpark,link,437,2025-06-07T10:15:00
Category:Machine_learning,Category:Big_data,external,97,2025-06-11T07:39:00
Apache_Spark,Feature_store,link,224,2025-06-28T22:29:00
Python_(programming_language),Feature_store,link,428,2025-06-21T15:41:00
Python_(programming_language),Data_warehouse,link,199,2025-06-20T01:11:00
Search,RDD,link,56,2025-06-09T08:06:00
Apache_Spark,Feature_store,external,256,2025-06-17T12:06:00
Data_engineering,Broadcast_join,external,194,2025-06-27T22:18:00
Main_Page,Broadcast_join,other,1,2025-06-02T18:33:00
Apache_Spark,Broadcast_join,external,363,2025-06-28T12:57:00
Category:Machine_learning,Data_warehouse,link,294,2025-06-14T12:44:00
Search,Category:Big_data,external,411,2025-06-16T20:42:00
Search,PySpark,link,366,2025-06-28T14:09:00
Search,Partition_(databases),other,46,2025-06-17T02:02:00
Apache_Spark,Feature_store,link,69,2025-06-10T16:25:00
Python_(programming_language),RDD,external,129,2025-06-08T10:14:00
Python_(programming_language),SQL,link,392,2025-06-03T20:48:00
ELT,MapReduce,link,169,2025-06-14T02:09:00
ELT,SQL,link,188,2025-06-08T15:20:00
Search,RDD,other,195,2025-06-21T10:38:00
ELT,Lakehouse,other,14,2025-06-09T05:59:00
Main_Page,Feature_store,link,127,2025-06-14T11:36:00
Apache_Spark,SQL,external,141,2025-06-03T02:01:00
Search,MapReduce,link,199,2025-06-28T05:03:00
Data_engineering,PySpark,link,446,2025-06-01T04:05:00
Data_engineering,PySpark,link,345,2025-06-23T02:02:00
Python_(programming_language),Partition_(databases),other,69,2025-06-24T18:21:00
ETL,Apache_Spark,link,125,2025-06-28T01:45:00
Python_(programming_language),Data_warehouse,link,38,2025-06-25T21:09:00
ETL,Broadcast_join,link,381,2025-06-24T03:49:00
ELT,RDD,link,352,2025-06-04T20:02:00
ETL,Dataframe,link,328,2025-06-04T06:11:00
Apache_Spark,RDD,link,362,2025-06-28T08:35:00
Apache_Spark,RDD,link,301,2025-06-24T16:22:00
Search,Lakehouse,external,25,2025-06-24T09:32:00
ELT,Broadcast_join,external,162,2025-06-07T02:49:00
ETL,Partition_(databases),external,323,2025-06-21T22:30:00
Main_Page,Data_warehouse,link,68,2025-06-28T21:02:00
Apache_Spark,Apache_Spark,external,397,2025-06-21T21:40:00
Category:Machine_learning,SQL,link,448,2025-06-19T10:09:00
Search,Category:Big_data,link,284,2025-06-26T19:21:00
ETL,Partition_(databases),external,461,2025-06-16T14:16:00
Apache_Spark,PySpark,link,224,2025-06-22T22:45:00
Category:Machine_learning,Dataframe,link,155,2025-06-11T07:41:00
ELT,PySpark,link,10,2025-06-04T15:31:00
